Connecticut December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197807,3.71,-0.20
197808,5.04,0.81
197809,3.14,-0.85
197810,3.01,-0.66
197811,2.43,-1.69
197812,4.36,0.36
197901,11.97,8.24
197902,3.49,0.21
197903,4.33,0.14
197904,5.63,1.50
197905,5.48,1.55
197906,1.49,-2.21
197907,2.29,-1.62
197908,6.28,2.05
197909,4.98,0.99
197910,4.10,0.43
197911,4.35,0.23
197912,2.54,-1.46
198001,1.36,-2.37
198002,0.92,-2.36
198003,8.58,4.39
198004,6.39,2.26
198005,2.07,-1.86
198006,3.48,-0.22
198007,4.75,0.84
198008,2.10,-2.13
198009,1.72,-2.27
198010,3.76,0.09
198011,4.28,0.16
198012,0.92,-3.08
198101,0.68,-3.05
198102,7.84,4.56
198103,0.68,-3.51
198104,3.75,-0.38
198105,3.37,-0.56
198106,3.23,-0.47
198107,4.14,0.23
198108,1.09,-3.14
198109,4.02,0.03
198110,5.59,1.92
198111,2.29,-1.83
198112,5.25,1.25
198201,5.15,1.42
198202,3.35,0.07
198203,2.66,-1.53
198204,5.10,0.97
198205,2.83,-1.10
198206,12.09,8.39
198207,2.76,-1.15
198208,3.13,-1.10
198209,2.64,-1.35
198210,2.38,-1.29
198211,3.85,-0.27
198212,1.75,-2.25
198301,4.80,1.07
198302,3.79,0.51
198303,7.70,3.51
198304,11.02,6.89
198305,5.35,1.42
198306,3.11,-0.59
198307,1.86,-2.05
198308,3.30,-0.93
198309,1.83,-2.16
198310,6.35,2.68
198311,7.11,2.99
198312,6.79,2.79
198401,2.01,-1.72
198402,5.31,2.03
198403,5.03,0.84
198404,5.39,1.26
198405,10.23,6.30
198406,4.00,0.30
198407,6.64,2.73
198408,1.33,-2.90
198409,1.81,-2.18
198410,3.49,-0.18
198411,3.26,-0.86
198412,2.95,-1.05
198501,1.05,-2.68
198502,2.34,-0.94
198503,2.44,-1.75
198504,1.65,-2.48
198505,4.50,0.57
198506,4.45,0.75
198507,4.61,0.70
198508,6.29,2.06
198509,4.59,0.60
198510,2.20,-1.47
198511,6.69,2.57
198512,1.61,-2.39
198601,4.96,1.23
198602,3.40,0.12
198603,3.18,-1.01
198604,1.88,-2.25
198605,1.43,-2.50
198606,5.26,1.56
198607,5.65,1.74
198608,4.12,-0.11
198609,1.06,-2.93
198610,2.66,-1.01
198611,7.10,2.98
198612,6.00,2.00
198701,5.37,1.64
198702,0.49,-2.79
198703,4.29,0.10
198704,8.32,4.19
198705,2.15,-1.78
198706,2.74,-0.96
198707,1.91,-2.00
198708,4.18,-0.05
198709,5.68,1.69
198710,4.04,0.37
198711,3.02,-1.10
198712,2.24,-1.76
198801,3.09,-0.64
198802,4.00,0.72
198803,2.89,-1.30
198804,2.33,-1.80
198805,3.61,-0.32
198806,1.08,-2.62
198807,7.30,3.39
198808,2.58,-1.65
198809,2.52,-1.47
198810,3.00,-0.67
198811,8.98,4.86
198812,1.56,-2.44
198901,1.70,-2.03
198902,2.64,-0.64
198903,3.42,-0.77
198904,4.17,0.04
198905,9.51,5.58
198906,6.37,2.67
198907,4.59,0.68
198908,6.79,2.56
198909,4.61,0.62
198910,8.15,4.48
198911,4.35,0.23
198912,1.25,-2.75
199001,4.90,1.17
199002,3.29,0.01
199003,2.73,-1.46
199004,4.88,0.75
199005,7.51,3.58
199006,2.31,-1.39
199007,3.38,-0.53
199008,8.09,3.86
199009,2.02,-1.97
199010,7.86,4.19
199011,3.02,-1.10
199012,5.69,1.69
199101,2.85,-0.88
199102,2.00,-1.28
199103,5.07,0.88
199104,3.05,-1.08
199105,4.88,0.95
199106,1.71,-1.99
199107,3.14,-0.77
199108,8.34,4.11
199109,6.04,2.05
199110,3.04,-0.63
199111,4.19,0.07
199112,3.46,-0.54
199201,2.69,-1.04
199202,2.11,-1.17
199203,4.32,0.13
199204,2.76,-1.37
199205,1.75,-2.18
199206,6.88,3.18
199207,4.61,0.70
199208,6.14,1.91
199209,3.52,-0.47
199210,2.35,-1.32
199211,6.04,1.92
199212,5.62,1.62
199301,2.73,-1.00
199302,2.94,-0.34
199303,6.60,2.41
199304,4.88,0.75
199305,0.97,-2.96
199306,2.71,-0.99
199307,3.09,-0.82
199308,2.54,-1.69
199309,5.99,2.00
199310,3.87,0.20
199311,3.99,-0.13
199312,5.44,1.44
199401,5.67,1.94
199402,2.83,-0.45
199403,5.89,1.70
199404,2.61,-1.52
199405,3.60,-0.33
199406,3.66,-0.04
199407,4.36,0.45
199408,6.71,2.48
199409,4.59,0.60
199410,1.17,-2.50
199411,4.66,0.54
199412,4.66,0.66
199501,3.97,0.24
199502,2.84,-0.44
199503,2.40,-1.79
199504,2.68,-1.45
199505,3.21,-0.72
199506,1.68,-2.02
199507,3.15,-0.76
199508,2.39,-1.84
199509,3.63,-0.36
199510,8.97,5.30
199511,5.07,0.95
199512,2.30,-1.70
199601,6.73,3.00
199602,2.68,-0.60
199603,2.91,-1.28
199604,7.14,3.01
199605,3.57,-0.36
199606,2.97,-0.73
199607,7.05,3.14
199608,2.24,-1.99
199609,6.29,2.30
199610,7.17,3.50
199611,4.10,-0.02
199612,7.45,3.45
199701,3.91,0.18
199702,2.07,-1.21
199703,4.11,-0.08
199704,4.44,0.31
199705,3.38,-0.55
199706,1.93,-1.77
199707,3.82,-0.09
199708,6.08,1.85
199709,1.45,-2.54
199710,1.83,-1.84
199711,6.41,2.29
199712,3.25,-0.75
199801,4.67,0.94
199802,3.97,0.69
199803,6.10,1.91
